level,route,Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
2,Death->Acetaminophen,age,18-39,2.0030976398624034,0.973712894108527,0.9394998488085147,0.034213045300012346,0.0225834046395732,129
2,Death->18-39,psd,Acetaminophen,10.778412922613995,0.973712894108527,0.6751547001559757,0.29855819395255134,0.0,129
2,Death->18-39,gender,Female,4.030381157680106,0.8367398580713004,0.6750182080837024,0.16172164998759797,2.7843239327585145e-05,239
2,Death->Female,psd,Acetaminophen,21.90956652348612,0.9618845408549621,0.661522751101613,0.30036178975334915,0.0,262
2,Death->Female,age,18-39,6.07139623960056,0.8367398580713004,0.6736002881587074,0.16313956991259293,6.340143965388734e-10,239
2,18-39->Acetaminophen,outcome,Death,10.516641384933896,0.9577497197008281,0.8721601107014512,0.08558960899937695,0.0,641
2,18-39->Acetaminophen,gender,Female,7.015725462017216,0.9215333171891193,0.8395041552733261,0.08202916191579324,1.1437517599688363e-12,1041
2,18-39->Acetaminophen,outcome,LifeThreatening,1.9309007694687166,0.933172295478984,0.905135557108461,0.028036738370522896,0.026747662511827475,222
2,18-39->Death,psd,Acetaminophen,10.778412922613995,0.973712894108527,0.6751547001559757,0.29855819395255134,0.0,129
2,18-39->Death,gender,Female,4.030381157680106,0.8367398580713004,0.6750182080837024,0.16172164998759797,2.7843239327585145e-05,239
2,18-39->Female,psd,Acetaminophen,40.92289070354379,0.920575558809812,0.4511708756666167,0.46940468314319533,0.0,1047
2,18-39->Female,outcome,Death,23.69746292231276,0.8858318318104748,0.546349414694822,0.33948241711565275,0.0,931
2,18-39->Female,outcome,LifeThreatening,9.256527294188354,0.7982042563085225,0.623489412530842,0.17471484377768054,0.0,567
2,18-39->Female,dose,larger than 100 MG,2.370148143018836,0.5687422165368009,0.5089766562346969,0.059765560302104004,0.008890479590492162,608
2,18-39->Female,outcome,RequiredIntervention,2.3479380188845136,0.728041081898246,0.6541060820845374,0.07393499981370866,0.009438831180647145,175
2,Sorafenib Tosylate->HEPATIC NEOPLASM MALIGNANT,age,older than 65,1.6467850484863364,0.7838199255462179,0.7313822031225804,0.052437722423637534,0.04980111780917307,119
2,younger than 18->Acetaminophen,outcome,Death,8.317890854180545,0.9764476710151712,0.8425301457607731,0.13391752525439804,0.0,145
2,younger than 18->Acetaminophen,gender,Female,2.8510511131847642,0.8764059567148414,0.7976880331981876,0.07871792351665385,0.0021787482102121336,270
